링크아이디,시점노드,시점노드명,종점노드,종점노드명,도로등급,도로명,연장(M),링크권역
(LINK_ID),(F_NODE),(NODE_NAME),(T_NODE),(NODE_NAME),(ROAD_RANK),(ROAD_NAME),(len),(organ)
1040013303,1040020400,광진교,1040020700,광나루소망교회앞,104,구천면로,78.52603509,서울특별시
1040013304,1040001100,광진교북측,1040020400,광진교,104,구천면로,74.41735193,서울특별시
1040013400,1040022100,화양삼거리,1040021500,어린이대공원역교차로,104,광나루로,337.4705078,서울특별시
1040013500,1040021500,어린이대공원역교차로,1040022100,화양삼거리,104,광나루로,339.2252078,서울특별시
1040013601,1040022500,화양사거리,1040022200,화양동우체국,104,광나루로,187.9011191,서울특별시
1040013602,1040022200,화양동우체국,1040022100,화양삼거리,104,광나루로,80.4337486,서울특별시
1040013701,1040022200,화양동우체국,1040022500,화양사거리,104,광나루로,190.0712316,서울특별시
1040013702,1040022100,화양삼거리,1040022200,화양동우체국,104,광나루로,80.43384754,서울특별시
1040013803,1040023400,워커힐APT후문,1040023300,아차산공원,104,워커힐로,368.9046005,서울특별시
1040013804,1040004500,쉐라톤워커힐호텔,1040023400,워커힐APT후문,104,워커힐로,406.1279732,서울특별시
1040013902,1040023300,아차산공원,1040023400,워커힐APT후문,104,워커힐로,359.9177915,서울특별시
1040013903,1040023400,워커힐APT후문,1040004500,쉐라톤워커힐호텔,104,워커힐로,415.3510927,서울특별시
1040014001,1040004600,군자삼거리,1040022101,세종초등학교,104,군자로,147.9473863,서울특별시
1040014002,1040022101,세종초등학교,1040022100,화양삼거리,104,군자로,724.6766846,서울특별시
1040014101,1040022100,화양삼거리,1040022101,세종초등학교,104,군자로,714.7091253,서울특별시
1040014102,1040022101,세종초등학교,1040004600,군자삼거리,104,군자로,147.8029483,서울특별시
1040014201,1040024400,능동119안전센터,1040021500,어린이대공원역교차로,104,능동로,989.0031015,서울특별시
1040014202,1040024600,능동시장입구,1040024400,능동119안전센터,104,능동로,122.6051405,서울특별시
1040014203,1040001900,군자역사거리,1040024600,능동시장입구,104,능동로,82.26327992,서울특별시
1040014301,1040021500,어린이대공원역교차로,1040024400,능동119안전센터,104,능동로,991.5852055,서울특별시
1040014302,1040024400,능동119안전센터,1040024600,능동시장입구,104,능동로,122.6051405,서울특별시
